e,fc,fa,n,tr,w,pc,pa,rc,ra,uIc,uIa,uNc,uNa,vc,va,x,c2020,PSID
0.785033392906189,0.0942857649293728,0.699760557617992,0.117857095622458,8.55589682469145,0.0138271982928272,0.0541643336322159,0.162777768447995,0.00905760038644075,0.00871252746554092,0.11816088239802,0.124419261103962,0.00759359471406788,0.0121592527013272,0.000235019763978198,0.000292381515307352,0.378785245013423,0.20183300247986,440d7349e4d6dc18cf675eaf8a482a64
0.775393111739792,0.0933414451972932,0.695532058952571,0.11658278067433,8.37611557140488,0.0136712263334574,0.0529041609380475,0.166132408659322,0.00880684927826793,0.00845523201536561,0.11593677350956,0.122322654790599,0.00773692017235178,0.0121593175654349,0.00023586453064182,0.000295047111729613,0.380033205734142,0.196071473501908,e3ca8a2fbd25fe76e95a5b03bf0c8199
0.765327766220355,0.0917045169896468,0.721255134332134,0.118322003104923,8.4913582070951,0.013404902208372,0.051500856768273,0.166156882352935,0.00882884223264829,0.00860909871959127,0.117229095508637,0.12236091470285,0.0086367536809282,0.012376341163146,0.000220803561810184,0.00029131305774018,0.373287512822213,0.208806700375317,baa8ed654d2e62c0c014b4211e6b66e3
0.758236258344081,0.0860174637003132,0.718698532199963,0.120418263003899,8.42034662004769,0.0135724658902154,0.049007191104278,0.164950346057279,0.00900477260781755,0.00837380586886461,0.111196336405193,0.115166731153365,0.00815227199877639,0.0129410733808973,0.000214251926266508,0.000290333040636889,0.372540164254918,0.207486102057685,b7d46a55e38f46cf97167ab2fc3518d2
0.749753629198629,0.0903628176767902,0.708909486431269,0.119506971387597,8.17749484150882,0.0136730547448847,0.0503940120071048,0.165486599280696,0.00873431617663717,0.00861264056018702,0.113217817109735,0.113760493382808,0.00729625836949453,0.012789603743098,0.000224646018600434,0.000294452832038574,0.375662406354079,0.184223847953876,8fb155b678ea837e0dba83347db2c6d7
0.746262405421807,0.088580569744452,0.71510999093417,0.11963283867523,7.98337640767267,0.0135239172293152,0.0526122346363035,0.168503963285129,0.0087627466652465,0.0081588473591982,0.118581821637407,0.106464139914628,0.00764293302962589,0.0125345912321096,0.000228246115523712,0.000293912029758836,0.371029957134075,0.193661213123225,0e1234c5021fc9685eef90ae7a524253
0.734060470440989,0.090920349981357,0.699956319618714,0.121131157769715,7.96317881749916,0.0134425915340851,0.0534778586566573,0.17115655425123,0.00865008437146189,0.00835103684627618,0.117609014970141,0.116444219983587,0.00834404859809791,0.0111339010951736,0.000229826247380512,0.000285310533790548,0.368095803284797,0.177767045588351,b5bbae593bb625013024876b5aafbe2b
0.737071652165346,0.0890302288019614,0.700484984801389,0.122291458753491,7.88154377096388,0.0123163231629084,0.0551847159050019,0.17100771253388,0.00827280435113936,0.00789972360806964,0.110462495945166,0.120928815451847,0.00794857309551496,0.0110267130043953,0.000223665358425211,0.000291242913026584,0.380835885328211,0.163263704306345,5e0e6c684734f63bc533f32df6264957
0.745622946424936,0.0901668468909158,0.714792737835839,0.124351930350141,8.08475433542312,0.012450956768328,0.0546746931729855,0.167950830943618,0.00820420484434251,0.00816621555477197,0.112127319053487,0.125165198107297,0.0078925048537783,0.0113154933991619,0.000220735490774217,0.000289327153643635,0.379930939128768,0.1716430575135,59ca88ffa4175de0ef2c778909953004
0.745368618284461,0.0914028529847845,0.721668444419589,0.124697967045129,8.08999985656149,0.012454293931405,0.0546056478770807,0.167365675941914,0.00805651893533324,0.00831047186351361,0.116089109589795,0.120925896510531,0.00764406605924436,0.0109038607687412,0.000225276418096041,0.000284583751089874,0.376844319181871,0.175854580209576,68568ce72dfa9abf505198a496360699
