Year,"[0,15)","[15,65)","[65,99]","[0,99]"
2047,320001.627,1121145.453,205251.2367,1646398.3167
2048,317594.523,1122302.195,210995.037,1650891.755
2049,315209.939,1123073.529,216758.4765,1655041.9445
2050,312858.792,1123448.303,222560.479,1658867.574
2051,310862.547,1122861.738,228628.5819,1662352.8669
2052,308876.712,1122051.216,234577.4986,1665505.4266
2053,306902.943,1120986.903,240430.8764,1668320.7224
2054,304930.579,1119667.437,246188.3074,1670786.3234
2055,302945.101,1118085.908,251883.7679,1672914.7769
2056,301189.05,1115805.993,257693.9728,1674689.0158
2057,299415.331,1113438.662,263263.8685,1676117.8615
2058,297607.686,1110927.899,268667.9627,1677203.5477
2059,295745.882,1108216.093,273980.4408,1677942.4158
2060,293816.423,1105254.29,279287.8751,1678358.5881
2061,292040.486,1101667.127,284728.4749,1678436.0879
2062,290213.683,1098009.068,289962.8078,1678185.5588
2063,288322.082,1094232.183,295054.0228,1677608.2878
2064,286357.737,1090288.982,300049.4797,1676696.1987
2065,284319.57,1086136.092,305022.9637,1675478.6257
2066,282449.48,1081417.437,310067.6592,1673934.5762
2067,280518.5,1076695.457,314869.3353,1672083.2923
2068,278532.295,1071921.909,319485.8311,1669940.0351
2069,276505.418,1067046.436,323959.2566,1667511.1106
2070,274448.275,1062030.951,328370.7525,1664849.9785
2071,272560.787,1056515.712,332854.3003,1661930.7993
2072,270663.925,1051027.157,337083.9549,1658775.0369
2073,268755.685,1045610.288,341028.818,1655394.791
2074,266834.23,1040367.642,344584.0821,1651785.9541
2075,264900.193,1035335.996,347772.6367,1648008.8257
2076,263142.171,1030129.734,350753.7568,1644025.6618
2077,261391.11,1025302.335,353170.0575,1639863.5025
2078,259646.388,1020672.98,355213.4643,1635532.8323
2079,257907.151,1015999.654,357111.576,1631018.381
2080,256169.864,1011113.461,359123.1881,1626406.5131
2081,254598.815,1005698.483,361332.3739,1621629.6719
2082,253046.944,1000284.638,363391.4582,1616723.0402
2083,251504.22,994837.651,365355.4079,1611697.2789
2084,249956.455,989354.683,367222.4328,1606533.5708
2085,248390.953,983813.869,369125.8951,1601330.7171
2086,246962.943,977903.489,371142.557,1596008.989
2087,245526.879,972121.35,372956.8882,1590605.1172
2088,244076.537,966394.343,374651.4122,1585122.2922
2089,242607.848,960651.777,376270.7623,1579530.3873
2090,241113.745,954837.552,377975.1328,1573926.4298
2091,239714.262,948763.335,379744.4551,1568222.0521
2092,238317.489,942816.08,381324.2152,1562457.7842
2093,236909.112,936956.173,382778.7429,1556644.0279
2094,235472.071,931154.846,384126.1205,1550753.0375
2095,233993.352,925374.015,385543.1605,1544910.5275
2096,232618.159,919460.615,386930.3988,1539009.1728
2097,231233.406,913760.846,388101.1913,1533095.4433
2098,229833.338,908210.417,389131.6791,1527175.4341
2099,228421.768,902742.31,390043.147,1521207.225
2100,227003.907,897286.444,391043.9761,1515334.3271
