Year,"[0,15)","[15,65)","[65,100]"
2056,0.000559977197046189,0.00412110530759624,0.0504686165481011
2057,0.000682647075276154,0.00397881369777692,0.0506745717747439
2058,0.000821164948004792,0.00386402574268232,0.0507803117383002
2059,0.000976541069809354,0.00377774878603935,0.0506760178188603
2060,0.000393875191925545,0.00412396680224602,0.0497519385509479
2061,0.000490473091460353,0.00395853147753949,0.0500941435696216
2062,0.000636141611558671,0.00381810325814177,0.0503057999426642
2063,0.000823003213468756,0.00370437468662901,0.0504140833561277
2064,0.00102556684193938,0.00362022827448878,0.0503045431543203
2065,0.000381183750383438,0.00396127247008012,0.0495797179220707
2066,0.000522475736191811,0.00378059004794835,0.0499094518271514
2067,0.000663649634516089,0.00362695781301137,0.0501194985690307
2068,0.000796776546145251,0.00350373284515075,0.0502379853426933
2069,0.000935779131821571,0.003412809299707,0.0501044028510096
2070,0.000377211334266899,0.00374869112453955,0.0493079334159032
2071,0.000478029145109543,0.00355251792033927,0.0496246837884101
2072,0.000601831219287905,0.00339172587145623,0.0498066895678279
2073,0.000748836252524274,0.00326566698815802,0.0499114209755728
2074,0.000909429798418307,0.00317652324676971,0.0497690905960743
2075,0.000378614295686815,0.00351926042760712,0.0490554836685344
2076,0.000481006140213053,0.00331683465414851,0.0494402325386583
2077,0.000588455361010584,0.0031554068390959,0.0497384781834173
2078,0.000706822850160341,0.00304017649218068,0.0499826529238914
2079,0.000847200239127964,0.00297331991020539,0.0498462416127334
2080,0.000360292184876192,0.00331842382622577,0.0491966149372687
2081,0.000437684676576347,0.00311872698728133,0.04956067043402
2082,0.000537018933530354,0.00296301561316192,0.0497658733905816
2083,0.000667376475830137,0.00285013941435556,0.0498808521947158
2084,0.000823227389746734,0.00278236515912868,0.0495821389809169
2085,0.000339650051586213,0.00309635297487354,0.048914355074191
2086,0.000409441994704442,0.00288590544132928,0.0491505068765262
2087,0.000478965889514687,0.00273343446268309,0.0492368570765011
2088,0.00055365829776586,0.00264065701386252,0.0492555007110153
2089,0.000660951413245299,0.00260176794530617,0.0488684249278435
2090,0.00029056825441451,0.0028425934802363,0.0483336921258964
2091,0.000303177622364424,0.00266500180469136,0.0485070332235642
2092,0.000372091869430519,0.00253097189432747,0.0485306612125167
2093,0.000507701029245338,0.00244202137296769,0.0484867322030176
2094,0.000697454264119508,0.00240528415829131,0.0479641165146956
2095,0.0002738325659782,0.00260590740707153,0.0475336449393452
2096,0.000322038487115709,0.00241616004400581,0.0476381813296805
2097,0.000410226193701432,0.00228516247893598,0.0475856338862003
2098,0.000517100787179983,0.00222237155863848,0.0474877351099735
2099,0.000641265503207212,0.0022335864594626,0.0468612102034958
2100,1,1,1
