Index,Year,"pop_[0,15)","pop_[15,65)","pop_[65,100]","mort_rate_[0,15)","mort_rate_[15,65)","mort_rate_[65,100]","ao_rate_[0,15)","ao_rate_[15,65)","ao_rate_[65,100]",B,"sim_[0,15)","sim_[15,65)","sim_[65,99]","sim_[0,99]"
27,1913,196687.379,265543.682,15295.7921351837,0.00601573406149225,0.00626419530479683,0.0447943407857181,0,0,0,16406.536,196687.379,265543.682,15295.7921351837,477526.853135184
28,1913,196687.379,265543.682,15295.7921351837,0.00601573406149225,0.00626419530479683,0.0447943407857181,0.04910095518324,0.00673104524611307,0,0,195504.160034684,263880.264513997,14610.6272096928,473995.051758374
29,1914,201700.568,270050.518,15732.3437953687,0.00707581191687323,0.00551045995325528,0.0459773811370082,0,0,0,16971.95,201700.568,270050.518,15732.3437953687,487483.429795369
30,1914,201700.568,270050.518,15732.3437953687,0.00707581191687323,0.00551045995325528,0.0459773811370082,0.0508262624326415,0.00658575771719153,0,0,200273.372717306,268562.415435205,15009.0118285106,483844.799981021
31,1915,206120.678,275492.973,16087.6237711813,0.00526713371189835,0.00700664476850244,0.0391880676480807,0,0,0,17443.549,206120.678,275492.973,16087.6237711813,497701.274771181
32,1915,206120.678,275492.973,16087.6237711813,0.00526713371189835,0.00700664476850244,0.0391880676480807,0.0523116410804814,0.00645033498415575,0,0,205035.012828187,273562.69160197,15457.1808825394,494054.885312697
33,1916,210937.633,280607.082,16616.0148324658,0.00587182748759574,0.0060679472591727,0.0399328676262074,0,0,0,17708.285,210937.633,280607.082,16616.0148324658,508160.729832466
34,1916,210937.633,280607.082,16616.0148324658,0.00587182748759574,0.0060679472591727,0.0399328676262074,0.0539869558067335,0.00632444009702338,0,0,209699.043608382,278904.373025874,15952.4897116859,504555.906345942
35,1917,215039.991,286769.095,17079.3750517207,0.00605053361864893,0.00525238301962316,0.040866717409176,0,0,0,17893.277,215039.991,286769.095,17079.3750517207,518888.461051721
36,1917,215039.991,286769.095,17079.3750517207,0.00605053361864893,0.00525238301962316,0.040866717409176,0.0552505176509813,0.00628806677726605,0,0,213738.884305101,285262.873874869,16381.3970579567,515383.155237926
37,1918,218680.22,293779.996,17505.6951336217,0.00574136383404711,0.00467929160705438,0.0420624378803985,0,0,0,18043.754,218680.22,293779.996,17505.6951336217,529965.911133622
