Name,low,high
e,0.4,0.8
fc,0,0.15
fa,0.25,0.75
n,0.1,0.25
tr,0,5
w,0.007,0.02
pc,0.01,0.06
pa,0.08,0.2
rc,0.005,0.015
ra,0.005,0.015
uIc,0,0.11
uIa,0,0.11
uNc,0,0.022
uNa,0,0.022
vc,0.0001,0.0003
va,0.0001,0.0003
x,0.25,0.41
c2020,0,1
