Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0.975559587384274,0.977836289194802,0.980232249145693,0.982659974553084,0.985020095970969,0.987294261266398,0.989477903531525,0.99104981338798,0.991740002011484,0.991754230085984,0.991554351954061,0.991070214145747,0.990573795204845,0.990253470332593,0.990019568034716,0.989580669426474,0.988984656581706,0.988455921314878,0.9880866554402,0.987825149207187,0.987515539354994,0.987179572691213,0.986876151453793,0.986617426292061,0.986388740478408,0.986161597356175,0.985943865147771,0.985693122160666,0.985382305365145,0.985028107277491,0.984670588518154,0.984299722730893,0.983919083544049,0.983532498535587,0.983131076045344,0.98270418308615,0.982253983955446,0.981760920620712,0.981217573039426,0.980635913608174,0.980027378241731,0.979385008786423,0.978719529000508,0.978014347486935,0.977238647724484,0.976389202905756,0.975465287874564,0.974405764826343,0.973236377444707,0.972030833025149,0.970792098018739,0.969511521581134,0.968251144821698,0.966937290941563,0.965434760034232,0.963733307065439,0.961809456129413,0.959434859465682,0.956790516960968,0.954247390653627,0.951775699502228,0.949384407165347,0.947215333874409,0.945003577332353,0.942381536895417,0.939271179464365,0.935376375906467,0.930656950677674,0.926150015606966,0.922588294037562,0.919103489809343,0.916007204200992,0.912917966141692,0.909038469421817,0.904107857664337,0.898951592808765,0.893210703786962,0.887322855833051,0.882199649296447,0.87789395683123,0.873032083352458,0.867617839491859,0.862055031644015,0.856534353158381,0.851245100946549,0.843710304858685,0.839322936286697,0.840342239083057,0.838247630232363,0.830386360511481,0.827501722685859,0.830723918772283,0.829855537720706,0.828596037898364,0.825958702064897,0.78029873321989,0.706776715899218,0.60296948034094,0.395144411887819,0,0
1951,0.97135372716957,0.974448934331569,0.976823961982919,0.97931188292411,0.981820604941943,0.984248187957759,0.98657634324054,0.988802759016871,0.990399330881349,0.991099266412039,0.991115014558768,0.990913431514134,0.990424032859535,0.989921253064636,0.989595521737738,0.989356898417602,0.988909817438747,0.988302104135326,0.987761623775087,0.987382894992407,0.987113455844236,0.986794560423958,0.986448257079592,0.986135304981177,0.985869802424441,0.985635125184664,0.985402478579336,0.98517909423161,0.984921648670333,0.984603130055517,0.984239392330338,0.983872493828774,0.983491827061192,0.983100597870428,0.982703222230118,0.982290412837089,0.981850599391148,0.981387509648918,0.98087821010707,0.980316623880761,0.97971490214947,0.979083790632061,0.978417691608141,0.977725293017181,0.976989670336988,0.976179045284574,0.975289989804557,0.974319773517876,0.973208245976957,0.971981355266472,0.970716004801513,0.969412256152742,0.968062106212161,0.966727867596845,0.965329273164444,0.963724127813054,0.961899541495598,0.959828153684598,0.957263948114852,0.954400087468737,0.951633081937759,0.948929141800937,0.946300589037338,0.943903578025692,0.941443874920621,0.93850953547567,0.935008517961186,0.93058701562091,0.92518535566719,0.919975232295206,0.915824960708539,0.911737353617913,0.908073633289578,0.904393956528955,0.899743278370639,0.89377172813391,0.887458659247205,0.880344114123925,0.872949910569631,0.866427584775715,0.860906524044998,0.854588629084903,0.847481697698915,0.840076265764653,0.832627673169004,0.825410275965314,0.81497077123937,0.808832769815386,0.810258380559024,0.807260263691176,0.796105573401331,0.791867135455218,0.796666044660073,0.795357833655706,0.793451143451144,0.789772727272727,0.71504724981827,0.624462200368777,0.45234838121295,0,0
1952,0.947866281750393,0.951462866028138,0.975519504071196,0.978008071863726,0.980601666657757,0.98320387130594,0.985708904273344,0.988099903922535,0.99037508879789,0.992000771021054,0.992712073170888,0.992727713307792,0.992523272846112,0.992025838727423,0.99151439041779,0.99118282987046,0.990940090828982,0.990484446837096,0.989864546628909,0.989312939298443,0.988925818697675,0.988650053420185,0.988323914457346,0.987969468772616,0.987648737174946,0.987376605364495,0.987135793366277,0.986896624287989,0.986667624207402,0.986403058984834,0.986075203299074,0.98570098932848,0.985323105547581,0.984930524550808,0.984527593961992,0.98411705145738,0.983690511887174,0.983236350259388,0.982756434229102,0.982229244061722,0.981647023577398,0.981021816562778,0.980366338016687,0.97967263117466,0.978951449523555,0.978183754359408,0.977335962233143,0.976405547373975,0.975387976747413,0.974218792240981,0.972926365110105,0.971588459078989,0.970206965781606,0.96877134957406,0.967349659478115,0.965855711510472,0.964134993130268,0.962173309172498,0.959937221039243,0.957153961993546,0.954026897695677,0.950989688384453,0.948003527197908,0.945084922509615,0.942407912884841,0.939647437024837,0.936335988782569,0.932357405520932,0.927292056566372,0.921035734426669,0.914933979691957,0.910022735939961,0.905137994521803,0.900727111765962,0.896261928116251,0.890562349639134,0.883154729686622,0.875221825237205,0.86613668912474,0.856536772865437,0.847949911679291,0.840559464829549,0.831994422200463,0.822216313482027,0.811833632429009,0.801229659763314,0.79076266739671,0.775285763768618,0.765962562888429,0.768149272132391,0.763628474912449,0.746256239600666,0.739557165391132,0.74711118051218,0.745038910505837,0.742041137167562,0.736279547790339,0.645882751609624,0.500492125984252,0,0
1953,0.934746136065798,0.944437702834309,0.954676285814127,0.977047107109514,0.979658446028949,0.982365879381643,0.985067728900321,0.987655176159865,0.990112565407031,0.992440210410215,0.994096288479126,0.994818785151237,0.994834521069688,0.994626170180447,0.994120145240436,0.993599496283907,0.993262003711677,0.993014781021921,0.992550744062457,0.991918175641543,0.991354522308866,0.990959459669519,0.990678278210574,0.990344908422714,0.989982749223568,0.989654887244076,0.989375860280121,0.989128645370489,0.988883020278814,0.988647569686692,0.988375848428267,0.988038604706239,0.987653006629986,0.987263926867912,0.986859062419833,0.986442608222506,0.986018342966628,0.985577380177751,0.98510672627094,0.984609368159161,0.984062643484701,0.983458104679917,0.982808562273595,0.982126184358205,0.981403108926354,0.980650173857817,0.979848757810419,0.978962357844314,0.977986528021613,0.976918677595986,0.975687965579739,0.97432148714315,0.972903957160773,0.971435664592565,0.969905484469165,0.968385867405302,0.966785719771412,0.964936877064624,0.962821160610358,0.960399259860554,0.957367934937987,0.953939196837885,0.950584185678085,0.947266370420377,0.944001805563683,0.940992282749287,0.937872506591348,0.93410501294622,0.929543922268491,0.923682218034427,0.916351562698855,0.909104594588303,0.903197686507721,0.897260137159598,0.891846055507444,0.886307671958151,0.879154121056927,0.869727631174206,0.859449303180633,0.847456766457944,0.834509356235425,0.822662294387388,0.812282585133726,0.800022182786158,0.785715360086638,0.770143126491869,0.753810826092475,0.737258918396492,0.711977363267434,0.69631257395378,0.699959875304793,0.692248376623377,0.661761426978818,0.649577375780078,0.663287699864145,0.659746703224964,0.654131355932203,0.643495254048018,0.538300104931794,0,0
1954,0.930028918261448,0.944513820065282,0.958703714373504,0.97209716580259,0.977874077002306,0.980614659480261,0.983440850992985,0.986245517558922,0.988917402609622,0.99144192650316,0.993821731217101,0.995508168670188,0.996241995785403,0.996257576500013,0.996045916526775,0.995531405927197,0.995001709822672,0.994658213894003,0.994406619572045,0.993933464355274,0.993288208552389,0.992713083075169,0.992309290832548,0.992022201856384,0.991681515650502,0.99131087653509,0.990975273854417,0.99068904688604,0.990435518545635,0.990183554779565,0.989941640343498,0.989662195503662,0.989315535179699,0.988918823505513,0.988517431608456,0.988099962468698,0.987670299109118,0.987232471755295,0.986776100638407,0.986288963260645,0.985774089165921,0.985206819203085,0.984579167739605,0.983904079481638,0.983193724600887,0.982440242785309,0.981654661299018,0.980816975721032,0.979888622439078,0.978865861294806,0.977743126864599,0.976446307470314,0.975002212914213,0.973499048106814,0.971937075942879,0.970304764906766,0.968678999438237,0.96696163341758,0.964971389409692,0.962684290849774,0.960052705271666,0.95674164689384,0.952968696936042,0.949251329057615,0.945547531265375,0.94187949771985,0.938474462127388,0.934922324398356,0.930604391959132,0.925325693465225,0.918467798135365,0.909765130705843,0.901025475564933,0.893800216405369,0.886442143225524,0.879643490876303,0.872600670146193,0.863384355102367,0.850997130386554,0.837184576572949,0.820631698785886,0.802240082079343,0.784901125548557,0.769301639948406,0.750358149637229,0.727465900933238,0.701612416937011,0.673361295655635,0.643448316343501,0.595068765361083,0.563273799202358,0.570949819208043,0.554845517969162,0.487954851752022,0.459564635777697,0.491728375610525,0.48327726103305,0.470445344129555,0.444251626898048,0,0
1955,0.968443431073299,0.976106192536384,0.982347291941527,0.986990118996394,0.98994780534258,0.990795111136537,0.989151618073038,0.987775198090915,0.988426495411544,0.990332424431973,0.990786217283554,0.990258677746727,0.989745494721874,0.989496798409723,0.989397003885607,0.989072661153257,0.988597486466509,0.988177571914155,0.987873372606304,0.987640362498634,0.987365989964248,0.987066029404083,0.986786913984712,0.986542078562131,0.986318427188113,0.986090038596181,0.985862693867907,0.985606528920906,0.985301784627377,0.984958650983779,0.984606621725474,0.984236860580465,0.983854968751155,0.983467844071174,0.983070859292965,0.982649611495446,0.982205055359888,0.981729747486232,0.981214755556945,0.980657726369917,0.980071278245301,0.979455663140073,0.978780414835894,0.978038209018424,0.977246707238283,0.976416761931621,0.975534174059073,0.974651040470406,0.973767614422109,0.972829569011197,0.97179919242603,0.97069077806742,0.969361034316007,0.967793841657564,0.966112372556876,0.964394494380998,0.962617775270924,0.960881133981965,0.959105818380871,0.95710743860702,0.954830743795205,0.952230762618163,0.949071889847816,0.945624699871899,0.94234679150309,0.939128492162396,0.935999849578168,0.93321267597229,0.930469438647511,0.927307511638513,0.923578259145526,0.91888798797277,0.913111105833981,0.907533156498674,0.903220054209133,0.899007169974007,0.895322452054914,0.891889042475927,0.887723758076475,0.88238720443311,0.8769284528041,0.87095787888468,0.864587131262025,0.858937554680665,0.85451992566591,0.847139249861428,0.843096234309624,0.845144988569366,0.843275438756024,0.833819862555495,0.829957379498221,0.834934121413619,0.833951189372876,0.832945900253593,0.83117555670637,0.798359354326541,0.754886254405639,0.690827190827191,0.580034423407917,0,0
1956,0.939170601627387,0.970947165773089,0.979020702522923,0.985503089833278,0.990272194961821,0.993286708362126,0.994146343289379,0.992475208714021,0.991071834773477,0.991735838694831,0.993675476963557,0.994136186203941,0.993601258026276,0.993079678935742,0.992826556503468,0.992723905374484,0.992393103699134,0.991908452515328,0.991479973753632,0.991169623129853,0.990932073615413,0.990652384919442,0.990345987225699,0.9900615124901,0.989812331071093,0.989584547257679,0.989352007354702,0.989120947493101,0.988860026070382,0.988548210246474,0.988196349369069,0.987834885690093,0.987455503529598,0.987062611123246,0.9866646277705,0.986255351928351,0.985820766391613,0.985362099194675,0.984871373088263,0.984338193896258,0.983761240454912,0.983153303951776,0.982514422611904,0.981812468448414,0.981039523949456,0.980214976192462,0.979347926437223,0.978425112843877,0.977500622628578,0.976574268495385,0.975588461608371,0.974504268394104,0.973334858569194,0.971928481905798,0.970263121655539,0.96846944410522,0.966631443162897,0.964721621286391,0.962850669212695,0.96093174856133,0.958764010218296,0.95628345301973,0.953436103051962,0.949956011649329,0.946126944239725,0.942458224862604,0.938832526081468,0.935282937231511,0.932102033118511,0.928955067582157,0.925305622956897,0.920970258227974,0.915464476604975,0.908606574887474,0.901901059716574,0.89665822851452,0.891488910978213,0.886927186793616,0.882640503303256,0.877404247703138,0.870607125653423,0.863580857873697,0.855789534353665,0.847355582083355,0.839757770598253,0.833753781618194,0.823603538107355,0.817953399815847,0.820818418483567,0.818245538361999,0.804748185697094,0.799248239716237,0.806356463387656,0.805056491942952,0.803501205124952,0.801246105919003,0.767981438515081,0.704159592529711,0.591582691167753,0,0
1957,0.956724514851578,0.971377480560527,0.971620570019877,0.980122927781293,0.986848775642278,0.991740738586634,0.994808348825928,0.995679827339939,0.993983935485016,0.992555195935589,0.993231578825932,0.995201937175201,0.995669074429812,0.995126710888962,0.994597760883926,0.994340442957632,0.994236223458008,0.993899938575044,0.993407002762294,0.992970712699376,0.992654663190226,0.992412579694202,0.992127384470378,0.991815000116161,0.991524652845515,0.991270012727232,0.991037817269789,0.990800104600624,0.990563772222224,0.990296792006756,0.989977647628934,0.98961701818177,0.989246661117935,0.988856881809953,0.988453639486777,0.988044464960131,0.987623998132501,0.987176558765094,0.986703829675841,0.986197196371386,0.985646900943962,0.985050581697211,0.984420945551648,0.98375862601256,0.983030218029001,0.982227177907694,0.981368291629146,0.980464967839229,0.979500380048071,0.978532427894895,0.977560999928154,0.976525261784413,0.975383581255962,0.974149788645739,0.972660887055471,0.970893625973638,0.968982626829144,0.967016604806582,0.964966884597435,0.962950452313192,0.96087418732237,0.958518645405091,0.955810977940421,0.952684815755621,0.948838039745943,0.94457422758101,0.940455195414836,0.936351390514677,0.932305839318374,0.928653181168469,0.925015035343954,0.920762430700276,0.915669818365137,0.909134265418309,0.900881579646796,0.892686924054471,0.886201058822378,0.879725085910653,0.87394876858704,0.868467417442442,0.861692181640778,0.852794353913243,0.843439906326903,0.832878222004531,0.821228408673282,0.810573396886164,0.801984674418335,0.787177072912376,0.778791116538197,0.78304177610387,0.779157880864523,0.758689445778765,0.750082797906869,0.761133973479653,0.759231565627516,0.756709820018946,0.752980819077242,0.713854121709107,0.596142254370102,0,0
1958,0.976678055637686,0.984954642878367,0.990976063044557,0.970861301606349,0.979814627004409,0.986787970849234,0.991800571921225,0.994919157645976,0.995801852664371,0.994084087672861,0.992632293964037,0.99332034343816,0.995319139509703,0.995791679503813,0.995242616802512,0.994706530469026,0.994446032717182,0.99434079723927,0.994000112119679,0.993499661827437,0.993056717016415,0.99273491978718,0.992488398816475,0.992197594378253,0.991878902936087,0.991582198369989,0.991321753281007,0.991083885349527,0.990840274759904,0.990597587318343,0.990323744552095,0.989996917661537,0.989627757257662,0.989248131727933,0.988848457919479,0.988434640998627,0.988014102650772,0.987581779936501,0.987121704919022,0.986634895736864,0.986113189169842,0.985545696202094,0.984929924920753,0.984279117401474,0.983593425524135,0.982838230713065,0.982004700414641,0.981111175811484,0.980169477141104,0.979162693969936,0.97815006202091,0.977131428663995,0.976042673619944,0.974839680194799,0.973537149167024,0.971960999139518,0.970084380656181,0.968049499622492,0.965946810595731,0.963746053664112,0.961570173963515,0.959320572461985,0.956755427774893,0.953789779348114,0.950346554877129,0.946079353787549,0.941308926139366,0.936662530134899,0.931993744126473,0.927348075844451,0.923120297587989,0.918872626002471,0.913868122305289,0.907810046456834,0.899938338073019,0.889830950819374,0.879620481943332,0.871394655477032,0.863067534194529,0.855534620373614,0.848299590147081,0.839224489956956,0.827081581160639,0.814037894786378,0.798969375303233,0.7819110750613,0.765837804977846,0.752601908065915,0.729114491832692,0.715395168798079,0.722359344345295,0.716055647173242,0.681340341655716,0.666195690568704,0.685570106932596,0.682121212121212,0.678280826204882,0.671600688468159,0.596735187424426,0,0
1959,0.995695202915913,0.995410698681354,0.994696112168968,0.993627130625623,0.969611442531331,0.979048254392491,0.986279912502446,0.991415564018931,0.994584747682497,0.995478831194982,0.993740313080237,0.99226614321868,0.992966107743437,0.99499288021912,0.995470511051775,0.994914824339461,0.994371769447821,0.994108183952454,0.99400232684823,0.993657254180938,0.993149912806471,0.99269973941863,0.992372430256514,0.992121333660414,0.991824850344676,0.99149971008163,0.991196736784465,0.990930298942082,0.990685937826619,0.990435955113974,0.990186796755385,0.989905990199524,0.989570909365668,0.989192703409874,0.988803509777528,0.988393627818942,0.987968765535243,0.987537260522524,0.987092947412689,0.98661957716344,0.986118660729775,0.985581025000356,0.9849956770995,0.984359720979887,0.983687052753734,0.982977875098401,0.982194486358549,0.981328417734147,0.980399128944806,0.979417275361175,0.978366122397789,0.977305499608313,0.976236409731513,0.975091701827586,0.973823664153352,0.972445686494364,0.97077586926955,0.968781616671265,0.966609865914434,0.964357511427231,0.961988605963107,0.959636118154885,0.957190458764904,0.954388177366669,0.95113039579053,0.947320249464295,0.942559905693557,0.937192009589323,0.931911498795732,0.926551838012935,0.921166083815857,0.916215129312397,0.911197148755999,0.905221340922371,0.897898563719656,0.888235979898675,0.875586591038929,0.862500479035914,0.851745898990667,0.840647397889697,0.830420876725063,0.820423843841903,0.807648007371573,0.790104302855981,0.77069603422361,0.747476699145252,0.720116374736189,0.693187195652506,0.670162297128589,0.627268532759151,0.60086983322489,0.614464692482916,0.602161332231014,0.530814412203033,0.497481442205726,0.540133193130039,0.532652154597957,0.523531221162719,0.508969759097899,0,0
1960,0.988782432649773,0.984999548512619,0.983296486433839,0.983307883887232,0.984719871464709,0.987762469341426,0.99273993206858,0.996565167254968,0.997335475328573,0.995907016975743,0.995306563972421,0.994980919306493,0.994650751352991,0.994565035051425,0.994625798619201,0.994466529358358,0.994152588093405,0.99385384990207,0.9936239988966,0.993436214208621,0.993210062318778,0.992962011757084,0.992715169010583,0.992467503743844,0.992212035357918,0.991945620254106,0.991669501503912,0.991373590961937,0.991052667972123,0.99071110561837,0.990353029296255,0.989972785586752,0.989587835883817,0.989207987405439,0.988822893843061,0.98841257709742,0.98798113891488,0.987508139151515,0.986980671433672,0.986407131423569,0.985807688091482,0.985177679773043,0.984512587430681,0.983807468265015,0.983057978686676,0.982261108873067,0.981409218764783,0.980521081151849,0.979615829173491,0.978688176573364,0.97770510239908,0.976672685330285,0.975545803482642,0.974254132770043,0.97276281622076,0.97114293451514,0.969384437995484,0.967336381575156,0.965025765090528,0.962609420482535,0.960120253720146,0.957539116505665,0.955069114829524,0.95263693527856,0.949991400425827,0.946973374485186,0.943475622615537,0.939425755891355,0.935317469838381,0.931625472013743,0.927983028210894,0.924499571609648,0.921350799140272,0.91810072100776,0.914232690465766,0.909730518808487,0.90396035728184,0.89680583955213,0.890146284776813,0.885552542801564,0.881172523830954,0.877814204737282,0.874814738220798,0.870548447559286,0.864392195509403,0.854770655965195,0.848943267561945,0.852833062887042,0.851354327240696,0.840077954832053,0.836541212046913,0.8421862532771,0.841234761531332,0.840149063450035,0.83831544178365,0.84572342126299,0.801752109020117,0.729357798165138,0.59283196239718,0,0
1961,1,0.987970754690217,0.984085662566811,0.982325435134798,0.982335319578539,0.983791159289721,0.986916519070435,0.991989084167279,0.99585343064301,0.996628791294419,0.995192602786014,0.994588973352771,0.994262740162258,0.993931111846651,0.993844907256403,0.993905644513625,0.993744482992879,0.993426378961265,0.993124277194357,0.992892360029117,0.992703787241138,0.992475744383458,0.9922256176839,0.991975781149057,0.991724457440442,0.991464667980119,0.991193451683087,0.990912173474448,0.990610041652513,0.990282193740356,0.98993228453881,0.989565172334628,0.989174956817928,0.988780368460168,0.988391494351985,0.987997413091471,0.987577335820961,0.987135292057177,0.986650252159157,0.98610908779464,0.985519987120838,0.984903924954709,0.984256126420371,0.983570988999437,0.982843982239306,0.982069456710368,0.981245416128244,0.980362614186872,0.979441216247581,0.978499556089648,0.977532577873037,0.97650625128405,0.975426234609321,0.974244462764833,0.97288558498654,0.971311870960607,0.96959731307538,0.967728730997713,0.965544527204858,0.963073527060762,0.960476944429932,0.957788449756346,0.954987673896973,0.952290091018904,0.949618503820543,0.946695891957156,0.943342413660713,0.93942668266612,0.934860659629643,0.930191166256235,0.925964151539442,0.921759713281138,0.917711037758924,0.91402027513512,0.910181989545339,0.905578564400613,0.900166651697951,0.89315818030369,0.884333811865431,0.87600167409643,0.870186108439352,0.86457274183439,0.860250097417549,0.856354866125955,0.850763933001237,0.842598737386629,0.829590952469752,0.821601009149038,0.826991030171242,0.825012933264356,0.809259006550218,0.804357383615847,0.81234350680111,0.811016949152542,0.809268121862963,0.807131599684791,0.806868304977946,0.732901659247268,0.592338479130932,0,0
1962,1,0.991066772299885,0.987746949164664,0.983755303958789,0.981936060718312,0.981945315907755,0.98344907000535,0.986662913221812,0.991836447917254,0.995742674654535,0.996523218900806,0.995078274009628,0.994470515888969,0.994142565206932,0.993808714601533,0.993721705668482,0.993782820834424,0.993619578624331,0.993297796417611,0.992991768265829,0.992757498384566,0.99256705753493,0.992336843817863,0.992083455183834,0.991830437600641,0.991575204280883,0.991310574195335,0.991034683026312,0.990748269756204,0.990440171488207,0.990105282219669,0.989747524629991,0.989371864713496,0.988971929490332,0.988567807232896,0.988169695458456,0.987766473252478,0.987335950502471,0.98688308525368,0.98638541431209,0.98582973111191,0.985224844466143,0.984591115248594,0.98392373032178,0.983217300477632,0.982466029370437,0.98166579211059,0.980812066960896,0.979896861691148,0.97893832411332,0.977957800688117,0.976948656591565,0.975875378293291,0.974743652273619,0.973501921436283,0.972070182702896,0.970406915519962,0.968587319361308,0.96659806645002,0.96426370837733,0.961611164543581,0.958809441933001,0.955893662970841,0.952836980942219,0.949878270798996,0.946927907885727,0.943681392959498,0.939930587649491,0.935518397176986,0.930325779285852,0.924965952915321,0.920070143932861,0.915156019569747,0.910378840579356,0.90599144529373,0.901387458998731,0.895805772184431,0.889181063535422,0.880474462963597,0.869319141746917,0.858581165486861,0.850965344145188,0.843525797998024,0.837712073793444,0.832443836840929,0.824790153730076,0.813417614152715,0.794851113344264,0.78316421071208,0.791149195915013,0.788179965511836,0.764723241010076,0.757014454026479,0.769326891036321,0.767189132706374,0.764892542910717,0.760800585794484,0.735650136665365,0.59249033683048,0,0
