e,0.559173569813371
fc,0.005372414343059
fa,0.663922616671769
fe,0.499942962450396
n,0.118809608642013
tr,0.131643234286456
w,0.012735901216455
pc,0.017341208758764
pa,0.171384161175043
pe,0.200125881267131
rc,0.007688466893602
ra,0.014385987268575
re,0.01019369761272
uIc,0.016601421535163
uIa,0.006958597135497
uIe,0.027687677949142
uNc,0.019250355414435
uNa,0.007765488085207
uNe,0.008644848181768
uT,0.03
vc,0.000215129605884
va,0.000148185465958
ve,0.002309519997557
x,0.312553712430597
c2000,0.3
c2020,0.7
