Year,"sim_[0,15)","sim_[15,65)","sim_[65,99]","sim_[0,99]"
1974,244551.882,341394.411,21102.351825745,607048.644825745
1975,248929.531,350665.098,21705.4766823507,621300.105682351
1976,254140.921,359141.089,22487.960473789,635769.970473789
1977,259023.954,368230.95,23228.2248159555,650483.128815956
1978,263731.19,377834.885,23934.1996992844,665500.274699285
1979,268491.454,387806.84,24615.4402647127,680913.734264713
1980,273441.676,398059.662,25280.1054443678,696781.443444368
1981,279295.802,407688.286,26131.7252971078,713115.813297108
1982,285305.307,417622.246,26938.1355291963,729865.688529196
1983,291350.346,427894.339,27701.9893224348,746946.674322435
1984,297196.716,438613.766,28432.2918576856,764242.773857686
1985,302701.863,449822.671,29139.7083734915,781664.242373492
1986,309117.827,460022.744,30038.2494091899,799178.82040919
1987,314882.171,471005.925,30901.8717732181,816789.967773218
1988,320158.702,482595.747,31731.9858545787,834486.434854579
1989,325179.83,494556.57,32530.6902730369,852267.090273037
1990,330035.881,506787.379,33307.2857,870130.5457
1991,335068.163,518486.703,34497.035,888051.901000001
1992,339847.574,530519.741,35650.9431,906018.2581
1993,344302.685,542975.424,36777.0476,924055.1566
1994,348305.135,556006.717,37889.9061,942201.7581
1995,351812.243,569664.412,39003.4628,960480.1178
1996,355436.705,582956.716,40496.754,978890.175
1997,358612.537,596826.819,41962.349,997401.705
1998,361355.075,611202.313,43412.3655,1015969.7535
1999,363723.543,625949.542,44861.3313,1034534.4163
2000,365773.765,640951.008,46320.7506,1053045.5236
2001,368339.237,655096.984,48035.9586,1071472.1796
2002,370455.776,669605.816,49739.6958000001,1089801.2878
2003,372221.586,684389.867,51410.4662,1108021.9192
2004,373755.592,699358.935,53015.0123,1126129.5393
2005,375114.219,714450.93,54547.019,1144112.168
2006,376811.884,728846.31,56312.4116,1161970.6056
2007,378289.367,743374.311,58009.6454,1179673.3234
2008,379470.915,758006.442,59660.68,1197138.037
2009,380174.492,772795.808,61289.8867,1214260.1867
2010,380274.337,787765.404,62929.9662,1230969.7072
2011,380287.007,802018.31,64918.6305,1247223.9475
2012,379512.707,816654.594,66885.3211,1263052.6221
